Sample ID	Challenged	Breed	Age	Profile
#q2:types	categorical	categorical	categorical	categorical
BLR1	N	Ross	7	FGC
BLR2	N	Ross	7	FGC
BLR3	N	Ross	7	FGC
BLR4	N	Ross	7	FGC
BLR5	N	Ross	7	FGC
BLR6	N	Ross	7	FGC
BLR7	N	Ross	7	FGC
BLR8	N	Ross	7	FGC
BLR9	N	Ross	7	FGC
BLR10	N	Ross	7	FGC
BLR11	N	Ross	7	FGC
BLR12	N	Ross	7	FGC
BLR13	N	Ross	7	FGC
BLR14	N	Ross	7	FGC
BLR15	N	Ross	7	FGC
BLR16	N	Ross	7	FGC
BLR17	N	Ross	7	FGC
BLR18	N	Ross	7	FGC
BLR19	N	Ross	7	FGC
BLR20	N	Ross	7	FGC
BLR21	N	Ross	7	FGC
BLR22	N	Ross	7	FGC
BLR23	N	Ross	7	FGC
BLR24	N	Ross	7	FGC
BLRB1	N	Redbro	7	SGC
BLRB2	N	Redbro	7	SGC
BLRB3	N	Redbro	7	SGC
BLRB4	N	Redbro	7	SGC
BLRB5	N	Redbro	7	SGC
BLRB6	N	Redbro	7	SGC
BLRB7	N	Redbro	7	SGC
BLRB8	N	Redbro	7	SGC
BLRB9	N	Redbro	7	SGC
BLRB10	N	Redbro	7	SGC
BLRB11	N	Redbro	7	SGC
BLRB12	N	Redbro	7	SGC
BLRB13	N	Redbro	7	SGC
BLRB14	N	Redbro	7	SGC
BLRB15	N	Redbro	7	SGC
BLRB16	N	Redbro	7	SGC
BLRB17	N	Redbro	7	SGC
BLRB18	N	Redbro	7	SGC
BLRB19	N	Redbro	7	SGC
BLRB20	N	Redbro	7	SGC
BLRB21	N	Redbro	7	SGC
BLRB22	N	Redbro	7	SGC
BLRB23	N	Redbro	7	SGC
BLRB24	N	Redbro	7	SGC
1A	N	Redbro	13	SGC
2A	N	Redbro	13	SGC
3A	N	Ross	13	FGC
4A	N	Ross	13	FGC
5A	N	Redbro	13	SGC
6A	N	Ross	13	FGC
7A	N	Ross	13	FGC
8A	N	Ross	13	FGC
9A	N	Redbro	13	SGC
10A	N	Ross	13	FGC
11A	N	Redbro	13	SGC
12A	N	Redbro	13	SGC
13A	N	Ross	13	FGC
14A	N	Redbro	13	SGC
15A	N	Ross	13	FGC
16A	N	Ross	13	FGC
17A	N	Redbro	13	SGC
18A	N	Redbro	13	SGC
19A	N	Ross	13	FGC
20A	N	Ross	13	FGC
21A	N	Redbro	13	SGC
22A	N	Ross	13	FGC
23A	N	Redbro	13	SGC
24A	N	Redbro	13	SGC
1B	N	Redbro	17	SGC
2B	N	Redbro	17	SGC
3B	N	Ross	17	FGC
4B	N	Ross	17	FGC
5B	N	Redbro	17	SGC
6B	N	Ross	17	FGC
7B	N	Ross	17	FGC
8B	N	Ross	17	FGC
9B	N	Redbro	17	SGC
10B	N	Ross	17	FGC
11B	N	Redbro	17	SGC
12B	N	Redbro	17	SGC
13B	Y	Ross	17	FGST
14B	Y	Redbro	17	SGST
15B	Y	Ross	17	FGST
16B	Y	Ross	17	FGST
17B	Y	Redbro	17	SGST
18B	Y	Redbro	17	SGST
19B	Y	Ross	17	FGST
20B	Y	Ross	17	FGST
21B	Y	Redbro	17	SGST
22B	Y	Ross	17	FGST
23B	Y	Redbro	17	SGST
24B	Y	Redbro	17	SGST
1C	N	Redbro	21	SGC
2C	N	Redbro	21	SGC
3C	N	Ross	21	FGC
4C	N	Ross	21	FGC
5C	N	Redbro	21	SGC
6C	N	Ross	21	FGC
7C	N	Ross	21	FGC
8C	N	Ross	21	FGC
9C	N	Redbro	21	SGC
10C	N	Ross	21	FGC
11C	N	Redbro	21	SGC
12C	N	Redbro	21	SGC
13C	Y	Ross	21	FGST
14C	Y	Redbro	21	SGST
15C	Y	Ross	21	FGST
16C	Y	Ross	21	FGST
17C	Y	Redbro	21	SGST
18C	Y	Redbro	21	SGST
19C	Y	Ross	21	FGST
20C	Y	Ross	21	FGST
21C	Y	Redbro	21	SGST
22C	Y	Ross	21	FGST
23C	Y	Redbro	21	SGST
24C	Y	Redbro	21	SGST
1D	N	Redbro	24	SGC
2D	N	Redbro	24	SGC
3D	N	Ross	24	FGC
4D	N	Ross	24	FGC
5D	N	Redbro	24	SGC
6D	N	Ross	24	FGC
7D	N	Ross	24	FGC
8D	N	Ross	24	FGC
9D	N	Redbro	24	SGC
10D	N	Ross	24	FGC
11D	N	Redbro	24	SGC
12D	N	Redbro	24	SGC
13D	Y	Ross	24	FGST
14D	Y	Redbro	24	SGST
15D	Y	Ross	24	FGST
16D	Y	Ross	24	FGST
17D	Y	Redbro	24	SGST
18D	Y	Redbro	24	SGST
19D	Y	Ross	24	FGST
20D	Y	Ross	24	FGST
21D	Y	Redbro	24	SGST
22D	Y	Ross	24	FGST
23D	Y	Redbro	24	SGST
24D	Y	Redbro	24	SGST
