SampleID	Challenged	Isolator	Breed	Age
#q2:types	categorical	Categorical	categorical	categorical
I1	N	AW	Ross	7
I2	N	AW	Ross	7
I3	N	AW	Ross	7
I4	N	AW	Ross	7
I5	N	AW	Ross	7
I6	N	AW	Ross	7
I7	N	AW	Ross	7
I8	N	AW	Ross	7
I9	N	AW	Ross	7
I10	N	AW	Ross	7
I11	N	AW	Ross	7
I12	N	AW	Ross	7
I13	N	AW	Ross	7
I14	N	AW	Ross	7
I15	N	AW	Ross	7
I16	N	AW	Ross	7
I17	N	AW	Ross	7
I18	N	AW	Ross	7
I19	N	AW	Ross	7
I20	N	AW	Ross	7
I21	N	AW	Ross	7
I22	N	AW	Ross	7
I23	N	AW	Ross	7
I24	N	AW	Ross	7
I25	N	AW	Redbro	7
I26	N	AW	Redbro	7
I27	N	AW	Redbro	7
I28	N	AW	Redbro	7
I29	N	AW	Redbro	7
I30	N	AW	Redbro	7
I31	N	AW	Redbro	7
I32	N	AW	Redbro	7
I33	N	AW	Redbro	7
I34	N	AW	Redbro	7
I35	N	AW	Redbro	7
I36	N	AW	Redbro	7
I37	N	AW	Redbro	7
I38	N	AW	Redbro	7
I39	N	AW	Redbro	7
I40	N	AW	Redbro	7
I41	N	AW	Redbro	7
I42	N	AW	Redbro	7
I43	N	AW	Redbro	7
I44	N	AW	Redbro	7
I45	N	AW	Redbro	7
I46	N	AW	Redbro	7
I47	N	AW	Redbro	7
I48	N	AW	Redbro	7
I49	N	1	Redbro	13
I50	N	1	Redbro	13
I51	N	2	Redbro	13
I52	N	2	Redbro	13
I53	N	3	Ross	13
I54	N	3	Ross	13
I55	N	4	Ross	13
I56	N	4	Ross	13
I57	N	5	Redbro	13
I58	N	5	Redbro	13
I59	N	6	Ross	13
I60	N	6	Ross	13
I61	N	7	Ross	13
I62	N	7	Ross	13
I63	N	8	Ross	13
I64	N	8	Ross	13
I65	N	11	Redbro	13
I66	N	11	Redbro	13
I67	N	12	Redbro	13
I68	N	12	Redbro	13
I69	N	9	Redbro	13
I70	N	9	Redbro	13
I71	N	10	Ross	13
I72	N	10	Ross	13
I73	N	13	Ross	13
I74	N	13	Ross	13
I75	N	14	Redbro	13
I76	N	14	Redbro	13
I77	N	15	Ross	13
I78	N	15	Ross	13
I79	N	16	Ross	13
I80	N	16	Ross	13
I81	N	17	Redbro	13
I82	N	17	Redbro	13
I83	N	18	Redbro	13
I84	N	18	Redbro	13
I85	N	19	Ross	13
I86	N	19	Ross	13
I87	N	20	Ross	13
I88	N	20	Ross	13
I89	N	21	Redbro	13
I90	N	21	Redbro	13
I91	N	22	Ross	13
I92	N	22	Ross	13
I93	N	23	Redbro	13
I94	N	23	Redbro	13
I95	N	24	Redbro	13
I96	N	24	Redbro	13
I97	N	1	Redbro	17
I98	N	1	Redbro	17
I99	N	2	Redbro	17
I100	N	2	Redbro	17
I101	N	3	Ross	17
I102	N	3	Ross	17
I103	N	4	Ross	17
I104	N	4	Ross	17
I105	N	5	Redbro	17
I106	N	5	Redbro	17
I107	N	6	Ross	17
I108	N	6	Ross	17
I109	N	7	Ross	17
I110	N	7	Ross	17
I111	N	8	Ross	17
I112	N	8	Ross	17
I113	N	9	Redbro	17
I114	N	9	Redbro	17
I115	N	10	Ross	17
I116	N	10	Ross	17
I117	N	11	Redbro	17
I118	N	11	Redbro	17
I119	N	12	Redbro	17
I120	N	12	Redbro	17
I121	Y	13	Ross	17
I122	Y	13	Ross	17
I123	Y	14	Redbro	17
I124	Y	14	Redbro	17
I125	Y	15	Ross	17
I126	Y	15	Ross	17
I127	Y	16	Ross	17
I128	Y	16	Ross	17
I129	Y	17	Redbro	17
I130	Y	17	Redbro	17
I131	Y	18	Redbro	17
I132	Y	18	Redbro	17
I133	Y	19	Ross	17
I134	Y	19	Ross	17
I135	Y	20	Ross	17
I136	Y	20	Ross	17
I137	Y	21	Redbro	17
I138	Y	21	Redbro	17
I139	Y	22	Ross	17
I140	Y	22	Ross	17
I141	Y	23	Redbro	17
I142	Y	23	Redbro	17
I143	Y	24	Redbro	17
I144	Y	24	Redbro	17
I145	N	1	Redbro	21
I146	N	1	Redbro	21
I147	N	2	Redbro	21
I148	N	2	Redbro	21
I149	N	3	Ross	21
I150	N	3	Ross	21
I151	N	4	Ross	21
I152	N	4	Ross	21
I153	N	5	Redbro	21
I154	N	5	Redbro	21
I155	N	6	Ross	21
I156	N	6	Ross	21
I157	N	7	Ross	21
I158	N	7	Ross	21
I159	N	8	Ross	21
I160	N	8	Ross	21
I161	N	9	Redbro	21
I162	N	9	Redbro	21
I163	N	10	Ross	21
I164	N	10	Ross	21
I165	N	11	Redbro	21
I166	N	11	Redbro	21
I167	N	12	Redbro	21
I168	N	12	Redbro	21
I169	Y	13	Ross	21
I170	Y	13	Ross	21
I171	Y	14	Redbro	21
I172	Y	14	Redbro	21
I173	Y	15	Ross	21
I174	Y	15	Ross	21
I175	Y	16	Ross	21
I176	Y	16	Ross	21
I177	Y	17	Redbro	21
I178	Y	17	Redbro	21
I179	Y	18	Redbro	21
I180	Y	18	Redbro	21
I181	Y	19	Ross	21
I182	Y	19	Ross	21
I183	Y	20	Ross	21
I184	Y	20	Ross	21
I185	Y	21	Redbro	21
I186	Y	21	Redbro	21
I187	Y	22	Ross	21
I188	Y	22	Ross	21
I189	Y	23	Redbro	21
I190	Y	23	Redbro	21
I191	Y	24	Redbro	21
I192	Y	24	Redbro	21
I193	N	1	Redbro	24
I194	N	1	Redbro	24
I195	N	2	Redbro	24
I196	N	2	Redbro	24
I197	N	3	Ross	24
I198	N	3	Ross	24
I199	N	4	Ross	24
I200	N	4	Ross	24
I201	N	5	Redbro	24
I202	N	5	Redbro	24
I203	N	6	Ross	24
I204	N	6	Ross	24
I205	N	7	Ross	24
I206	N	7	Ross	24
I207	N	8	Ross	24
I208	N	8	Ross	24
I209	N	9	Redbro	24
I210	N	9	Redbro	24
I211	N	10	Ross	24
I212	N	10	Ross	24
I213	N	11	Redbro	24
I214	N	11	Redbro	24
I215	N	12	Redbro	24
I216	N	12	Redbro	24
I217	Y	13	Ross	24
I218	Y	13	Ross	24
I219	Y	14	Redbro	24
I220	Y	14	Redbro	24
I221	Y	15	Ross	24
I222	Y	15	Ross	24
I223	Y	16	Ross	24
I224	Y	16	Ross	24
I225	Y	17	Redbro	24
I226	Y	17	Redbro	24
I227	Y	18	Redbro	24
I228	Y	18	Redbro	24
I229	Y	19	Ross	24
I230	Y	19	Ross	24
I231	Y	20	Ross	24
I232	Y	20	Ross	24
I233	Y	21	Redbro	24
I234	Y	21	Redbro	24
I235	Y	22	Ross	24
I236	Y	22	Ross	24
I237	Y	23	Redbro	24
I238	Y	23	Redbro	24
I239	Y	24	Redbro	24
I240	Y	24	Redbro	24
