SampleID	Challenged	Isolator	Breed	Age
#q2:types	categorical	Categorical	categorical	categorical
C1	N	AW	Ross	7
C2	N	AW	Ross	7
C3	N	AW	Ross	7
C4	N	AW	Ross	7
C5	N	AW	Ross	7
C6	N	AW	Ross	7
C7	N	AW	Ross	7
C8	N	AW	Ross	7
C9	N	AW	Ross	7
C10	N	AW	Ross	7
C11	N	AW	Ross	7
C12	N	AW	Ross	7
C13	N	AW	Ross	7
C14	N	AW	Ross	7
C15	N	AW	Ross	7
C16	N	AW	Ross	7
C17	N	AW	Ross	7
C18	N	AW	Ross	7
C19	N	AW	Ross	7
C20	N	AW	Ross	7
C21	N	AW	Ross	7
C22	N	AW	Ross	7
C23	N	AW	Ross	7
C24	N	AW	Ross	7
C25	N	AW	Redbro	7
C26	N	AW	Redbro	7
C27	N	AW	Redbro	7
C28	N	AW	Redbro	7
C29	N	AW	Redbro	7
C30	N	AW	Redbro	7
C31	N	AW	Redbro	7
C32	N	AW	Redbro	7
C33	N	AW	Redbro	7
C34	N	AW	Redbro	7
C35	N	AW	Redbro	7
C36	N	AW	Redbro	7
C37	N	AW	Redbro	7
C38	N	AW	Redbro	7
C39	N	AW	Redbro	7
C40	N	AW	Redbro	7
C41	N	AW	Redbro	7
C42	N	AW	Redbro	7
C43	N	AW	Redbro	7
C44	N	AW	Redbro	7
C45	N	AW	Redbro	7
C46	N	AW	Redbro	7
C47	N	AW	Redbro	7
C48	N	AW	Redbro	7
C49	N	1	Redbro	13
C50	N	1	Redbro	13
C51	N	2	Redbro	13
C52	N	2	Redbro	13
C53	N	3	Ross	13
C54	N	3	Ross	13
C55	N	4	Ross	13
C56	N	4	Ross	13
C57	N	5	Redbro	13
C58	N	5	Redbro	13
C59	N	6	Ross	13
C60	N	6	Ross	13
C61	N	7	Ross	13
C62	N	7	Ross	13
C63	N	8	Ross	13
C64	N	8	Ross	13
C65	N	11	Redbro	13
C66	N	11	Redbro	13
C67	N	12	Redbro	13
C68	N	12	Redbro	13
C69	N	9	Redbro	13
C70	N	9	Redbro	13
C71	N	10	Ross	13
C72	N	10	Ross	13
C73	N	13	Ross	13
C74	N	13	Ross	13
C75	N	14	Redbro	13
C76	N	14	Redbro	13
C77	N	15	Ross	13
C78	N	15	Ross	13
C79	N	16	Ross	13
C80	N	16	Ross	13
C81	N	17	Redbro	13
C82	N	17	Redbro	13
C83	N	18	Redbro	13
C84	N	18	Redbro	13
C85	N	19	Ross	13
C86	N	19	Ross	13
C87	N	20	Ross	13
C88	N	20	Ross	13
C89	N	21	Redbro	13
C90	N	21	Redbro	13
C91	N	22	Ross	13
C92	N	22	Ross	13
C93	N	23	Redbro	13
C94	N	23	Redbro	13
C95	N	24	Redbro	13
C96	N	24	Redbro	13
C97	N	1	Redbro	17
C98	N	1	Redbro	17
C99	N	2	Redbro	17
C100	N	2	Redbro	17
C101	N	3	Ross	17
C102	N	3	Ross	17
C103	N	4	Ross	17
C104	N	4	Ross	17
C105	N	5	Redbro	17
C106	N	5	Redbro	17
C107	N	6	Ross	17
C108	N	6	Ross	17
C109	N	7	Ross	17
C110	N	7	Ross	17
C111	N	8	Ross	17
C112	N	8	Ross	17
C113	N	9	Redbro	17
C114	N	9	Redbro	17
C115	N	10	Ross	17
C116	N	10	Ross	17
C117	N	11	Redbro	17
C118	N	11	Redbro	17
C119	N	12	Redbro	17
C120	N	12	Redbro	17
C121	Y	13	Ross	17
C122	Y	13	Ross	17
C123	Y	14	Redbro	17
C124	Y	14	Redbro	17
C125	Y	15	Ross	17
C126	Y	15	Ross	17
C127	Y	16	Ross	17
C128	Y	16	Ross	17
C129	Y	17	Redbro	17
C130	Y	17	Redbro	17
C131	Y	18	Redbro	17
C132	Y	18	Redbro	17
C133	Y	19	Ross	17
C134	Y	19	Ross	17
C135	Y	20	Ross	17
C136	Y	20	Ross	17
C137	Y	21	Redbro	17
C138	Y	21	Redbro	17
C139	Y	22	Ross	17
C140	Y	22	Ross	17
C141	Y	23	Redbro	17
C142	Y	23	Redbro	17
C143	Y	24	Redbro	17
C144	Y	24	Redbro	17
C145	N	1	Redbro	21
C146	N	1	Redbro	21
C147	N	2	Redbro	21
C148	N	2	Redbro	21
C149	N	3	Ross	21
C150	N	3	Ross	21
C151	N	4	Ross	21
C152	N	4	Ross	21
C153	N	5	Redbro	21
C154	N	5	Redbro	21
C155	N	6	Ross	21
C156	N	6	Ross	21
C157	N	7	Ross	21
C158	N	7	Ross	21
C159	N	8	Ross	21
C160	N	8	Ross	21
C161	N	9	Redbro	21
C162	N	9	Redbro	21
C163	N	10	Ross	21
C164	N	10	Ross	21
C165	N	11	Redbro	21
C166	N	11	Redbro	21
C167	N	12	Redbro	21
C168	N	12	Redbro	21
C169	Y	13	Ross	21
C170	Y	13	Ross	21
C171	Y	14	Redbro	21
C172	Y	14	Redbro	21
C173	Y	15	Ross	21
C174	Y	15	Ross	21
C175	Y	16	Ross	21
C176	Y	16	Ross	21
C177	Y	17	Redbro	21
C178	Y	17	Redbro	21
C179	Y	18	Redbro	21
C180	Y	18	Redbro	21
C181	Y	19	Ross	21
C182	Y	19	Ross	21
C183	Y	20	Ross	21
C184	Y	20	Ross	21
C185	Y	21	Redbro	21
C186	Y	21	Redbro	21
C187	Y	22	Ross	21
C188	Y	22	Ross	21
C189	Y	23	Redbro	21
C190	Y	23	Redbro	21
C191	Y	24	Redbro	21
C192	Y	24	Redbro	21
C193	N	1	Redbro	24
C194	N	1	Redbro	24
C195	N	2	Redbro	24
C196	N	2	Redbro	24
C197	N	3	Ross	24
C198	N	3	Ross	24
C199	N	4	Ross	24
C200	N	4	Ross	24
C201	N	5	Redbro	24
C202	N	5	Redbro	24
C203	N	6	Ross	24
C204	N	6	Ross	24
C205	N	7	Ross	24
C206	N	7	Ross	24
C207	N	8	Ross	24
C208	N	8	Ross	24
C209	N	9	Redbro	24
C210	N	9	Redbro	24
C211	N	10	Ross	24
C212	N	10	Ross	24
C213	N	11	Redbro	24
C214	N	11	Redbro	24
C215	N	12	Redbro	24
C216	N	12	Redbro	24
C217	Y	13	Ross	24
C218	Y	13	Ross	24
C219	Y	14	Redbro	24
C220	Y	14	Redbro	24
C221	Y	15	Ross	24
C222	Y	15	Ross	24
C223	Y	16	Ross	24
C224	Y	16	Ross	24
C225	Y	17	Redbro	24
C226	Y	17	Redbro	24
C227	Y	18	Redbro	24
C228	Y	18	Redbro	24
C229	Y	19	Ross	24
C230	Y	19	Ross	24
C231	Y	20	Ross	24
C232	Y	20	Ross	24
C233	Y	21	Redbro	24
C234	Y	21	Redbro	24
C235	Y	22	Ross	24
C236	Y	22	Ross	24
C237	Y	23	Redbro	24
C238	Y	23	Redbro	24
C239	Y	24	Redbro	24
C240	Y	24	Redbro	24
