SampleID	Challenged	Isolator	Breed	Age
#q2:types	categorical	categorical	categorical	categorical
C1	N	BLR1	Ross	7
C2	N	BLR2	Ross	7
C3	N	BLR3	Ross	7
C4	N	BLR4	Ross	7
C5	N	BLR5	Ross	7
C6	N	BLR6	Ross	7
C7	N	BLR7	Ross	7
C8	N	BLR8	Ross	7
C9	N	BLR9	Ross	7
C10	N	BLR10	Ross	7
C11	N	BLR11	Ross	7
C12	N	BLR12	Ross	7
C13	N	BLR13	Ross	7
C14	N	BLR14	Ross	7
C15	N	BLR15	Ross	7
C16	N	BLR16	Ross	7
C17	N	BLR17	Ross	7
C18	N	BLR18	Ross	7
C19	N	BLR19	Ross	7
C20	N	BLR20	Ross	7
C21	N	BLR21	Ross	7
C22	N	BLR22	Ross	7
C23	N	BLR23	Ross	7
C24	N	BLR24	Ross	7
C25	N	BLRB1	Redbro	7
C26	N	BLRB2	Redbro	7
C27	N	BLRB3	Redbro	7
C28	N	BLRB4	Redbro	7
C29	N	BLRB5	Redbro	7
C30	N	BLRB6	Redbro	7
C31	N	BLRB7	Redbro	7
C32	N	BLRB8	Redbro	7
C33	N	BLRB9	Redbro	7
C34	N	BLRB10	Redbro	7
C35	N	BLRB11	Redbro	7
C36	N	BLRB12	Redbro	7
C37	N	BLRB13	Redbro	7
C38	N	BLRB14	Redbro	7
C39	N	BLRB15	Redbro	7
C40	N	BLRB16	Redbro	7
C41	N	BLRB17	Redbro	7
C42	N	BLRB18	Redbro	7
C43	N	BLRB19	Redbro	7
C44	N	BLRB20	Redbro	7
C45	N	BLRB21	Redbro	7
C46	N	BLRB22	Redbro	7
C47	N	BLRB23	Redbro	7
C48	N	BLRB24	Redbro	7
C49	N	1A	Redbro	13
C50	N	1A	Redbro	13
C51	N	2A	Redbro	13
C52	N	2A	Redbro	13
C53	N	3A	Ross	13
C54	N	3A	Ross	13
C55	N	4A	Ross	13
C56	N	4A	Ross	13
C57	N	5A	Redbro	13
C58	N	5A	Redbro	13
C59	N	6A	Ross	13
C60	N	6A	Ross	13
C61	N	7A	Ross	13
C62	N	7A	Ross	13
